FileName/RunID,True Positives,True Negatives,False Positives,False Negatives, ,FP: Explicit in Axiom,FP: Explicit in NL,FP: Perfect Match, ,FN: More Info in Axiom,FN:More Info in NL,FN:No Contradictions,FN:Contradictions, ,Precision,Recall,F1-Score, ,% of Explicit in Axiom Wrong,% of Explicit in NL Wrong,% Of Perfect Match Wrong, ,% of More in Axiom Wrong,% of More in NL Wrong,% of No Contradictions Wrong,% of Contradictions Wrong, ,% of Errors Ex in Ax,% of Errors Ex in NL,% of Errors Perfect,% of Errors More in Axiom,% of Errors More in NL,% of Errors No Contradictions,% of Errors Contradictions
basic: 02,20.0,0.0,21.0,0.0, ,9.0,4.0,8.0, ,0.0,0.0,0.0,0.0, ,0.4878048780487805,1.0,0.6557377049180327, ,100.0,100.0,100.0, ,0.0,0.0,0.0,0.0, ,42.857142857142854,19.047619047619047,38.095238095238095,0.0,0.0,0.0,0.0
extended: 02,20.0,2.0,19.0,0.0, ,8.666666666666666,3.3333333333333335,7.0, ,0.0,0.0,0.0,0.0, ,0.5130454340980656,1.0,0.6780959802584583, ,96.2962962962963,83.33333333333333,87.5, ,0.0,0.0,0.0,0.0, ,45.60428849902534,17.57309941520468,36.82261208576998,0.0,0.0,0.0,0.0
basic: 03,20.0,0.0,21.0,0.0, ,9.0,4.0,8.0, ,0.0,0.0,0.0,0.0, ,0.4878048780487805,1.0,0.6557377049180327, ,100.0,100.0,100.0, ,0.0,0.0,0.0,0.0, ,42.857142857142854,19.047619047619047,38.095238095238095,0.0,0.0,0.0,0.0
extended: 03,20.0,2.0,19.0,0.0, ,8.333333333333334,3.3333333333333335,7.333333333333333, ,0.0,0.0,0.0,0.0, ,0.5135135135135135,1.0,0.6783625730994153, ,92.5925925925926,83.33333333333333,91.66666666666667, ,0.0,0.0,0.0,0.0, ,44.01960784313726,17.54901960784314,38.431372549019606,0.0,0.0,0.0,0.0
basic: 04,20.0,0.0,21.0,0.0, ,9.0,4.0,8.0, ,0.0,0.0,0.0,0.0, ,0.4878048780487805,1.0,0.6557377049180327, ,100.0,100.0,100.0, ,0.0,0.0,0.0,0.0, ,42.857142857142854,19.047619047619047,38.095238095238095,0.0,0.0,0.0,0.0
extended: 04,20.0,0.3333333333333333,20.666666666666668,0.0, ,9.0,3.6666666666666665,8.0, ,0.0,0.0,0.0,0.0, ,0.491869918699187,1.0,0.6593806921675774, ,100.0,91.66666666666667,100.0, ,0.0,0.0,0.0,0.0, ,43.57142857142858,17.6984126984127,38.730158730158735,0.0,0.0,0.0,0.0
basic: 05,19.666666666666668,1.3333333333333333,19.666666666666668,0.3333333333333333, ,9.0,3.0,7.666666666666667, ,0.0,0.3333333333333333,0.0,0.0, ,0.5,0.9833333333333334,0.6629001883239171, ,100.0,75.0,95.83333333333333, ,0.0,5.555555555555556,0.0,0.0, ,45.07518796992482,15.025062656641603,38.312447786132,0.0,1.5873015873015872,0.0,0.0
extended: 05,19.333333333333332,5.333333333333333,15.666666666666666,0.6666666666666666, ,8.0,2.3333333333333335,5.333333333333333, ,0.3333333333333333,0.3333333333333333,0.0,0.0, ,0.5524120759414878,0.9666666666666667,0.7029661696328363, ,88.88888888888887,58.333333333333336,66.66666666666667, ,6.666666666666667,5.555555555555556,0.0,0.0, ,49.01960784313726,14.338235294117647,32.59803921568628,2.0833333333333335,1.9607843137254903,0.0,0.0
basic: 06,20.0,2.0,19.0,0.0, ,9.0,3.6666666666666665,6.333333333333333, ,0.0,0.0,0.0,0.0, ,0.5130454340980656,1.0,0.6780959802584583, ,100.0,91.66666666666667,79.16666666666667, ,0.0,0.0,0.0,0.0, ,47.4561403508772,19.23976608187135,33.30409356725146,0.0,0.0,0.0,0.0
extended: 06,19.0,3.6666666666666665,17.333333333333332,1.0, ,8.0,3.0,6.333333333333333, ,0.6666666666666666,0.3333333333333333,0.0,0.0, ,0.523023023023023,0.9499999999999998,0.6746031746031745, ,88.88888888888887,75.0,79.16666666666667, ,13.333333333333334,5.555555555555556,0.0,0.0, ,43.66471734892787,16.374269005847953,34.50292397660818,3.6062378167641325,1.8518518518518519,0.0,0.0
